#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ BOTTOMAML_NEW
#Frequency(Hz),General/Unknown()_Real
2365.000000,34.353828
2370.000000,34.345985
2375.000000,34.335148
2380.000000,34.322659
2385.000000,34.310810
2390.000000,34.301113
2395.000000,34.296406
2400.000000,34.297459
2405.000000,34.305893
2410.000000,34.320099
2415.000000,34.339085
2420.000000,34.361546
2425.000000,34.385803
2430.000000,34.411419
2435.000000,34.438328
2440.000000,34.467522
2445.000000,34.499043
2450.000000,34.533707
2455.000000,34.571693
2460.000000,34.612240
2465.000000,34.654369
2470.000000,34.696743
2475.000000,34.738930
2480.000000,34.780361
2485.000000,34.818676
2490.000000,34.854359
2495.000000,34.886711
2500.000000,34.915718
2505.000000,34.940788
2510.000000,34.962666
2515.000000,34.982059
2520.000000,34.998550
2525.000000,35.013714
2530.000000,35.027519
2535.000000,35.039803
2540.000000,35.050545
2545.000000,35.058731
2550.000000,35.063442
2555.000000,35.064102
2560.000000,35.060238
2565.000000,35.052101
2570.000000,35.040356
2575.000000,35.025761
2580.000000,35.011395
2585.000000,34.999817
2590.000000,34.992355
2595.000000,34.992203
2600.000000,35.000240
2605.000000,35.017357
2610.000000,35.043343
2615.000000,35.076744
2620.000000,35.115963
2625.000000,35.158981
2630.000000,35.204201
2635.000000,35.251087
2640.000000,35.297638
2645.000000,35.342678
2650.000000,35.385284
2655.000000,35.425350
2660.000000,35.461838
2665.000000,35.494366
2670.000000,35.522282
2675.000000,35.545536
2680.000000,35.563225
2685.000000,35.575764
2690.000000,35.582890
2695.000000,35.584797
2700.000000,35.581844
2705.000000,35.575531
2710.000000,35.567677
2715.000000,35.559769
2720.000000,35.553387
2725.000000,35.550293
2730.000000,35.551693
2735.000000,35.558067
2740.000000,35.569103
2745.000000,35.584324
2750.000000,35.602646
2755.000000,35.622879
2760.000000,35.643848
2765.000000,35.663956
2770.000000,35.682610
2775.000000,35.698135
2780.000000,35.710209
2785.000000,35.717522
2790.000000,35.719032
2795.000000,35.713825
2800.000000,35.701748
2805.000000,35.681450
2810.000000,35.652721
2815.000000,35.615112
2820.000000,35.568657
2825.000000,35.513767
2830.000000,35.451176
2835.000000,35.382317
2840.000000,35.309361
2845.000000,35.234428
2850.000000,35.160530
2855.000000,35.089500
2860.000000,35.023678
2865.000000,34.964684
2870.000000,34.912563
2875.000000,34.868416
2880.000000,34.831650
2885.000000,34.801514
2890.000000,34.776672
2895.000000,34.756664
2900.000000,34.740143
2905.000000,34.727554
2910.000000,34.718319
2915.000000,34.712063
2920.000000,34.709103
2925.000000,34.709538
2930.000000,34.713573
2935.000000,34.720982
2940.000000,34.731781
2945.000000,34.745667
2950.000000,34.762352
2955.000000,34.781414
2960.000000,34.802517
2965.000000,34.825634
2970.000000,34.850651
2975.000000,34.877476
2980.000000,34.906364
2985.000000,34.937286
2990.000000,34.970966
2995.000000,35.007401
3000.000000,35.046944
3005.000000,35.089439
3010.000000,35.134243
3015.000000,35.180859
3020.000000,35.228424
3025.000000,35.275703
3030.000000,35.322407
3035.000000,35.367077
3040.000000,35.409344
3045.000000,35.448269
3050.000000,35.483112
3055.000000,35.513718
3060.000000,35.539356
3065.000000,35.559788
3070.000000,35.574387
3075.000000,35.582718
3080.000000,35.584831
3085.000000,35.580624
3090.000000,35.570183
3095.000000,35.553715
3100.000000,35.531765
3105.000000,35.505455
3110.000000,35.475838
3115.000000,35.444633
3120.000000,35.413136
3125.000000,35.383186
3130.000000,35.356274
3135.000000,35.333435
3140.000000,35.315468
3145.000000,35.303005
